timestamp,voltage,current,power,frequency,temperature,phase_a,phase_b,phase_c
2026-02-01T00:00:00.000Z,220.00,94.80,20856.00,60.000,43.00,93.85,95.75,95.75
2026-02-01T00:05:00.000Z,220.15,95.07,20928.88,60.000,43.26,94.16,96.02,96.07
2026-02-01T00:10:00.000Z,220.29,95.22,20976.05,60.001,43.52,94.35,96.17,96.28
2026-02-01T00:15:00.000Z,220.44,95.26,20998.36,60.001,43.77,94.43,96.20,96.38
2026-02-01T00:20:00.000Z,220.58,95.19,20997.24,60.002,44.03,94.40,96.13,96.36
2026-02-01T00:25:00.000Z,220.72,95.03,20974.74,60.002,44.27,94.28,95.95,96.25
2026-02-01T00:30:00.000Z,220.86,94.78,20933.40,60.003,44.52,94.08,95.69,96.05
2026-02-01T00:35:00.000Z,221.00,94.46,20876.24,60.003,44.75,93.80,95.35,95.78
2026-02-01T00:40:00.000Z,221.14,94.09,20806.66,60.004,44.98,93.47,94.96,95.46
2026-02-01T00:45:00.000Z,221.27,93.68,20728.38,60.004,45.20,93.10,94.53,95.09
2026-02-01T00:50:00.000Z,221.41,93.25,20645.31,60.004,45.41,92.71,94.08,94.70
2026-02-01T00:55:00.000Z,221.53,92.81,20561.49,60.005,45.60,92.31,93.62,94.30
2026-02-01T01:00:00.000Z,221.66,92.40,20480.96,60.005,45.79,91.94,93.18,93.92
2026-02-01T01:05:00.000Z,221.78,92.02,20407.67,60.006,45.97,91.59,92.77,93.58
2026-02-01T01:10:00.000Z,221.90,91.69,20345.39,60.006,46.13,91.30,92.41,93.28
2026-02-01T01:15:00.000Z,222.01,91.43,20297.59,60.007,46.28,91.07,92.12,93.05
2026-02-01T01:20:00.000Z,222.12,91.25,20267.38,60.007,46.42,90.92,91.91,92.90
2026-02-01T01:25:00.000Z,222.22,91.16,20257.41,60.008,46.54,90.86,91.79,92.84
2026-02-01T01:30:00.000Z,222.32,91.18,20269.83,60.008,46.65,90.91,91.77,92.88
2026-02-01T01:35:00.000Z,222.41,91.30,20306.19,60.008,46.75,91.06,91.86,93.03
2026-02-01T01:40:00.000Z,222.50,91.54,20367.44,60.009,46.83,91.32,92.07,93.30
2026-02-01T01:45:00.000Z,222.58,91.89,20453.88,60.009,46.90,91.70,92.39,93.68
2026-02-01T01:50:00.000Z,222.66,92.36,20565.18,60.010,46.95,92.19,92.82,94.17
2026-02-01T01:55:00.000Z,222.73,92.94,20700.36,60.010,46.99,92.79,93.36,94.77
2026-02-01T02:00:00.000Z,222.80,93.62,20857.80,60.011,47.02,93.49,94.01,95.48
2026-02-01T02:05:00.000Z,222.86,94.39,21035.33,60.011,47.04,94.28,94.74,96.27
2026-02-01T02:10:00.000Z,222.92,95.24,21230.24,60.011,47.04,95.15,95.55,97.14
2026-02-01T02:15:00.000Z,222.97,96.15,21439.34,60.012,47.04,96.08,96.42,98.08
2026-02-01T02:20:00.000Z,223.01,97.12,21659.07,60.012,47.02,97.06,97.35,99.06
2026-02-01T02:25:00.000Z,223.05,98.12,21885.59,60.013,46.99,98.07,98.30,100.07
2026-02-01T02:30:00.000Z,223.09,99.13,22114.84,60.013,46.95,99.10,99.27,101.10
2026-02-01T02:35:00.000Z,223.11,100.14,22342.65,60.013,46.91,100.11,100.23,102.11
2026-02-01T02:40:00.000Z,223.14,101.13,22564.86,60.014,46.86,101.11,101.17,103.10
2026-02-01T02:45:00.000Z,223.16,102.07,22777.43,60.014,46.80,102.06,102.07,104.04
2026-02-01T02:50:00.000Z,223.17,102.96,22976.49,60.015,46.74,102.95,102.91,104.92
2026-02-01T02:55:00.000Z,223.18,103.77,23158.49,60.015,46.67,103.77,103.67,105.72
2026-02-01T03:00:00.000Z,223.18,104.49,23320.26,60.015,46.61,104.49,104.34,106.43
2026-02-01T03:05:00.000Z,223.18,105.11,23459.10,60.016,46.54,105.11,104.91,107.03
2026-02-01T03:10:00.000Z,223.18,105.62,23572.83,60.016,46.46,105.62,105.37,107.51
2026-02-01T03:15:00.000Z,223.17,106.02,23659.87,60.017,46.39,106.01,105.72,107.87
2026-02-01T03:20:00.000Z,223.15,106.29,23719.25,60.017,46.33,106.28,105.94,108.11
2026-02-01T03:25:00.000Z,223.14,106.44,23750.64,60.017,46.26,106.42,106.04,108.21
2026-02-01T03:30:00.000Z,223.12,106.47,23754.38,60.018,46.20,106.43,106.02,108.19
2026-02-01T03:35:00.000Z,223.10,106.37,23731.45,60.018,46.14,106.33,105.89,108.05
2026-02-01T03:40:00.000Z,223.07,106.17,23683.45,60.018,46.08,106.11,105.64,107.79
2026-02-01T03:45:00.000Z,223.04,105.87,23612.56,60.019,46.04,105.79,105.29,107.43
2026-02-01T03:50:00.000Z,223.01,105.47,23521.48,60.019,46.00,105.38,104.86,106.97
2026-02-01T03:55:00.000Z,222.98,105.00,23413.39,60.019,45.97,104.89,104.35,106.44
2026-02-01T04:00:00.000Z,222.94,104.47,23291.83,60.020,45.94,104.34,103.79,105.85
2026-02-01T04:05:00.000Z,222.91,103.90,23160.64,60.020,45.93,103.74,103.18,105.21
2026-02-01T04:10:00.000Z,222.87,103.31,23023.85,60.020,45.93,103.12,102.56,104.54
2026-02-01T04:15:00.000Z,222.83,102.70,22885.62,60.021,45.93,102.49,101.93,103.87
2026-02-01T04:20:00.000Z,222.80,102.11,22750.07,60.021,45.95,101.88,101.31,103.22
2026-02-01T04:25:00.000Z,222.76,101.55,22621.24,60.021,45.97,101.29,100.72,102.59
2026-02-01T04:30:00.000Z,222.72,101.04,22502.95,60.022,46.01,100.75,100.19,102.01
2026-02-01T04:35:00.000Z,222.68,100.59,22398.72,60.022,46.06,100.27,99.71,101.50
2026-02-01T04:40:00.000Z,222.64,100.21,22311.72,60.022,46.12,99.86,99.32,101.06
2026-02-01T04:45:00.000Z,222.61,99.93,22244.62,60.023,46.19,99.54,99.02,100.72
2026-02-01T04:50:00.000Z,222.57,99.74,22199.58,60.023,46.27,99.32,98.81,100.47
2026-02-01T04:55:00.000Z,222.54,99.66,22178.19,60.023,46.36,99.21,98.72,100.33
2026-02-01T05:00:00.000Z,222.51,99.69,22181.41,60.023,46.45,99.20,98.73,100.31
2026-02-01T05:05:00.000Z,222.48,99.83,22209.56,60.024,46.56,99.30,98.86,100.40
2026-02-01T05:10:00.000Z,222.45,100.08,22262.33,60.024,46.68,99.51,99.10,100.60
2026-02-01T05:15:00.000Z,222.42,100.43,22338.75,60.024,46.80,99.82,99.44,100.90
2026-02-01T05:20:00.000Z,222.40,100.89,22437.24,60.025,46.93,100.23,99.88,101.31
2026-02-01T05:25:00.000Z,222.37,101.43,22555.67,60.025,47.07,100.73,100.42,101.81
2026-02-01T05:30:00.000Z,222.35,102.05,22691.36,60.025,47.21,101.30,101.03,102.38
2026-02-01T05:35:00.000Z,222.34,102.73,22841.18,60.025,47.35,101.94,101.71,103.02
2026-02-01T05:40:00.000Z,222.32,103.46,23001.62,60.026,47.50,102.62,102.43,103.71
2026-02-01T05:45:00.000Z,222.31,104.22,23168.88,60.026,47.65,103.32,103.19,104.43
2026-02-01T05:50:00.000Z,222.31,104.99,23338.97,60.026,47.80,104.04,103.96,105.17
2026-02-01T05:55:00.000Z,222.30,105.75,23507.79,60.026,47.95,104.75,104.72,105.90
2026-02-01T06:00:00.000Z,222.30,106.48,23671.23,60.026,48.10,105.43,105.46,106.60
2026-02-01T06:05:00.000Z,222.30,107.18,23825.30,60.027,48.25,106.07,106.16,107.27
2026-02-01T06:10:00.000Z,222.31,107.81,23966.18,60.027,48.39,106.65,106.81,107.88
2026-02-01T06:15:00.000Z,222.31,108.36,24090.37,60.027,48.53,107.15,107.38,108.41
2026-02-01T06:20:00.000Z,222.32,108.83,24194.74,60.027,48.66,107.56,107.86,108.86
2026-02-01T06:25:00.000Z,222.34,109.19,24276.59,60.027,48.79,107.87,108.24,109.21
2026-02-01T06:30:00.000Z,222.35,109.44,24333.77,60.028,48.91,108.07,108.52,109.45
2026-02-01T06:35:00.000Z,222.37,109.57,24364.69,60.028,49.02,108.15,108.67,109.57
2026-02-01T06:40:00.000Z,222.40,109.57,24368.37,60.028,49.12,108.11,108.71,109.57
2026-02-01T06:45:00.000Z,222.42,109.45,24344.47,60.028,49.20,107.95,108.63,109.45
2026-02-01T06:50:00.000Z,222.45,109.21,24293.30,60.028,49.28,107.67,108.42,109.22
2026-02-01T06:55:00.000Z,222.48,108.85,24215.79,60.028,49.35,107.27,108.10,108.86
2026-02-01T07:00:00.000Z,222.51,108.37,24113.49,60.029,49.40,106.76,107.66,108.40
2026-02-01T07:05:00.000Z,222.54,107.79,23988.55,60.029,49.44,106.15,107.13,107.84
2026-02-01T07:10:00.000Z,222.57,107.13,23843.61,60.029,49.46,105.45,106.51,107.19
2026-02-01T07:15:00.000Z,222.61,106.38,23681.78,60.029,49.47,104.68,105.81,106.47
2026-02-01T07:20:00.000Z,222.64,105.58,23506.56,60.029,49.47,103.86,105.05,105.69
2026-02-01T07:25:00.000Z,222.68,104.73,23321.74,60.029,49.45,102.99,104.25,104.87
2026-02-01T07:30:00.000Z,222.72,103.86,23131.32,60.029,49.41,102.10,103.43,104.03
2026-02-01T07:35:00.000Z,222.76,102.98,22939.40,60.029,49.36,101.20,102.60,103.18
2026-02-01T07:40:00.000Z,222.80,102.11,22750.07,60.029,49.30,100.32,101.78,102.35
2026-02-01T07:45:00.000Z,222.83,101.27,22567.35,60.030,49.22,99.47,100.99,101.55
2026-02-01T07:50:00.000Z,222.87,100.48,22395.05,60.030,49.12,98.66,100.25,100.80
2026-02-01T07:55:00.000Z,222.91,99.76,22236.68,60.030,49.01,97.93,99.57,100.12
2026-02-01T08:00:00.000Z,222.94,99.11,22095.38,60.030,48.89,97.27,98.97,99.51
2026-02-01T08:05:00.000Z,222.98,98.55,21973.84,60.030,48.75,96.69,98.45,98.99
2026-02-01T08:10:00.000Z,223.01,98.09,21874.22,60.030,48.60,96.22,98.04,98.58
2026-02-01T08:15:00.000Z,223.04,97.73,21798.11,60.030,48.44,95.86,97.73,98.27
2026-02-01T08:20:00.000Z,223.07,97.49,21746.47,60.030,48.27,95.60,97.54,98.08
2026-02-01T08:25:00.000Z,223.10,97.36,21719.63,60.030,48.09,95.46,97.45,98.00
2026-02-01T08:30:00.000Z,223.12,97.34,21717.28,60.030,47.90,95.43,97.48,98.04
2026-02-01T08:35:00.000Z,223.14,97.42,21738.44,60.030,47.70,95.50,97.61,98.18
2026-02-01T08:40:00.000Z,223.15,97.61,21781.53,60.030,47.49,95.67,97.84,98.42
2026-02-01T08:45:00.000Z,223.17,97.88,21844.40,60.030,47.27,95.94,98.16,98.76
2026-02-01T08:50:00.000Z,223.18,98.24,21924.35,60.030,47.06,96.28,98.56,99.17
2026-02-01T08:55:00.000Z,223.18,98.66,22018.24,60.030,46.83,96.68,99.02,99.65
2026-02-01T09:00:00.000Z,223.18,99.12,22122.54,60.030,46.61,97.14,99.54,100.18
2026-02-01T09:05:00.000Z,223.18,99.62,22233.41,60.030,46.38,97.63,100.08,100.75
2026-02-01T09:10:00.000Z,223.17,100.13,22346.84,60.030,46.15,98.13,100.64,101.32
2026-02-01T09:15:00.000Z,223.16,100.64,22458.70,60.030,45.92,98.63,101.19,101.89
2026-02-01T09:20:00.000Z,223.14,101.13,22564.86,60.030,45.70,99.12,101.71,102.44
2026-02-01T09:25:00.000Z,223.11,101.57,22661.32,60.030,45.47,99.56,102.20,102.95
2026-02-01T09:30:00.000Z,223.09,101.95,22744.25,60.030,45.25,99.94,102.62,103.39
2026-02-01T09:35:00.000Z,223.05,102.26,22810.14,60.030,45.04,100.26,102.97,103.76
2026-02-01T09:40:00.000Z,223.01,102.49,22855.88,60.030,44.83,100.49,103.23,104.04
2026-02-01T09:45:00.000Z,222.97,102.61,22878.81,60.030,44.63,100.63,103.39,104.22
2026-02-01T09:50:00.000Z,222.92,102.62,22876.80,60.029,44.44,100.66,103.43,104.28
2026-02-01T09:55:00.000Z,222.86,102.52,22848.32,60.029,44.25,100.58,103.36,104.22
2026-02-01T10:00:00.000Z,222.80,102.30,22792.44,60.029,44.08,100.38,103.16,104.04
2026-02-01T10:05:00.000Z,222.73,101.96,22708.91,60.029,43.91,100.07,102.84,103.73
2026-02-01T10:10:00.000Z,222.66,101.49,22598.11,60.029,43.76,99.63,102.39,103.30
2026-02-01T10:15:00.000Z,222.58,100.91,22461.07,60.029,43.61,99.09,101.83,102.74
2026-02-01T10:20:00.000Z,222.50,100.22,22299.46,60.029,43.48,98.44,101.15,102.07
